n,ngram,support,errors,error_rate
2,yy,2,2,1.0
2,wf,2,2,1.0
2,mf,2,2,1.0
2,kg,2,0,0.0
2,xp,2,2,1.0
2,wv,2,2,1.0
2,qr,2,1,0.5
2,jd,2,2,1.0
2,sg,2,1,0.5
2,vh,2,1,0.5
2,gf,2,1,0.5
2,tz,2,1,0.5
2,cm,2,1,0.5
2,kf,2,2,1.0
2,xc,2,1,0.5
2,zp,2,2,1.0
2,pf,2,1,0.5
2,xe,2,2,1.0
2,yc,2,1,0.5
2,zl,2,1,0.5
2,cb,2,0,0.0
2,sq,2,1,0.5
2,ww,2,2,1.0
2,hf,2,2,1.0
2,jt,2,1,0.5
2,lz,2,2,1.0
2,wk,2,2,1.0
2,mz,2,2,1.0
2,xn,1,1,1.0
2,nx,1,1,1.0
2,dq,1,1,1.0
2,lx,1,0,0.0
2,qw,1,1,1.0
2,vg,1,1,1.0
2,fz,1,1,1.0
2,fn,1,1,1.0
2,qs,1,1,1.0
2,yf,1,1,1.0
2,bw,1,1,1.0
2,fg,1,0,0.0
2,bp,1,0,0.0
2,kj,1,1,1.0
2,uq,1,1,1.0
2,xk,1,0,0.0
2,fm,1,1,1.0
2,zg,1,1,1.0
2,cg,1,1,1.0
2,xw,1,0,0.0
2,kb,1,0,0.0
2,xv,1,1,1.0
2,qb,1,1,1.0
2,wd,1,1,1.0
2,bc,1,0,0.0
2,cn,1,0,0.0
2,pg,1,1,1.0
2,zw,1,1,1.0
2,zv,1,1,1.0
2,kz,1,1,1.0
2,zr,1,1,1.0
2,bv,1,1,1.0
2,zz,1,1,1.0
2,wb,1,1,1.0
2,vc,1,0,0.0
2,pj,1,1,1.0
2,jl,1,0,0.0
2,fy,1,0,0.0
2,fd,1,1,1.0
2,hq,1,1,1.0
2,dj,1,1,1.0
2,zm,1,1,1.0
2,xu,1,0,0.0
2,bk,1,0,0.0
2,pb,1,0,0.0
3,ara,387,252,0.6511627906976745
3,haa,381,172,0.45144356955380577
3,aan,356,182,0.5112359550561798
3,han,341,214,0.6275659824046921
3,dha,334,209,0.625748502994012
3,cha,328,183,0.5579268292682927
3,ana,322,187,0.5807453416149069
3,sha,319,190,0.5956112852664577
3,har,314,191,0.60828025477707
3,yon,311,165,0.5305466237942122
3,iyo,295,156,0.5288135593220339
3,iya,286,168,0.5874125874125874
3,aar,284,129,0.45422535211267606
3,kar,274,159,0.5802919708029197
3,ata,269,172,0.6394052044609665
3,pra,235,107,0.4553191489361702
3,ari,235,129,0.548936170212766
3,ati,232,117,0.5043103448275862
3,and,232,170,0.7327586206896551
3,yaa,226,111,0.4911504424778761
3,ant,225,142,0.6311111111111111
3,bha,224,116,0.5178571428571429
3,man,220,148,0.6727272727272727
3,adh,211,143,0.6777251184834123
3,ama,208,121,0.5817307692307693
3,ala,205,136,0.6634146341463415
3,taa,202,95,0.47029702970297027
3,ani,198,115,0.5808080808080808
3,kha,189,111,0.5873015873015873
3,ika,186,97,0.521505376344086
3,ada,184,136,0.7391304347826086
3,ran,180,124,0.6888888888888889
3,ava,171,109,0.6374269005847953
3,ish,171,97,0.5672514619883041
3,ang,168,98,0.5833333333333334
3,aat,168,72,0.42857142857142855
3,kaa,167,57,0.3413173652694611
3,san,165,82,0.49696969696969695
3,raa,164,80,0.4878048780487805
3,ree,164,86,0.524390243902439
3,rat,163,95,0.5828220858895705
3,tha,163,105,0.6441717791411042
3,pur,160,94,0.5875
3,aka,156,85,0.5448717948717948
3,aad,152,84,0.5526315789473685
